ADS_N,elevation,aspect,slope,plot_radius,ForCat,ASSETTO,CanopyCover,nDeadTrees,DEFOGLIAZIONE,sDBH,sH,incr_cm_y,sDBH2,vol_i_1,vol_i_2,pV_new,CAI_m3_ha_y,Age,dom_DBH,TH,BasalArea_ha,GS_ha,pV,CAI_mc_ha_anno,
2600034,1400,N,20,12,FG,FC,80,1,0,13,8,0.32,13.32,0.0530929158,0.0557388908,0.0498366864,19.3755069349,13,55,22,44.84,388.78,0.1969230769,0.7655975385,19.3755069349
2100228,560,E,45,8,CA,CM,70,8,0,9,5,0.21,9.21,0.0159043128,0.0166551731,0.0472111111,19.3617487778,10,36,13,65.07,410.11,0.1866666667,0.7655386667,19.3617487778
1200110,830,N,25,9,CA,CM,80,18,0,19,19,0.32,19.32,0.2693523001,0.2785016233,0.033967867,19.2173207756,25,41,22,49.45,565.75,0.1010526316,0.5717052632,19.2173207756
2600084,870,N,25,15,AF,IN,40,1,0,15,18,0.3,15.3,0.1590431281,0.1654684705,0.0404,19.243328,35,21,14,36.48,476.32,0.12,0.571584,19.243328
6300219,120,A,0,15,SP,FU,70,4,20,21,19,0.5,21.5,0.3290425606,0.344897786,0.048185941,19.2738945578,25,80,28,42.8,399.99,0.1428571429,0.5714142857,19.2738945578
5100036,252,E,13,10,QV,FU,80,0,99,21,15,0.33,21.33,0.2597704425,0.2679988038,0.0316755102,19.1009661633,27,90,24,49.93,603.02,0.0942857143,0.5685617143,19.1009661633
800339,1020,S,20,15,CA,FU,90,1,0,30,13,0.41,30.41,0.4594579256,0.4721022588,0.0275201111,19.0758402178,24,118,20,79.46,693.16,0.082,0.5683912,19.0758402178
1400233,500,N,10,10,BS,FU,50,0,0,8,5,0.4,8.4,0.0125663706,0.0138544236,0.1025,19.332525,10,57,9,25.46,188.61,0.4,0.75444,19.332525
5400019,191,A,0,10,QC,IN,70,4,99,9,10,0.32,9.32,0.0318086256,0.0341107847,0.0723753086,19.1816280494,14,47,28,32.14,265.03,0.2844444444,0.7538631111,19.1816280494
1100351,700,O,12,10,CA,FU,80,4,0,10,9,0.18,10.18,0.0353429174,0.0366267135,0.036324,19.00907568,21,52,16,67.1,523.32,0.108,0.5651856,19.00907568
6100116,240,N,35,10,RB,FC,90,4,99,27,25,0.55,27.55,0.7156940764,0.7451489619,0.0411556927,18.9554889575,25,38,12,47.73,460.58,0.1222222222,0.5629311111,18.9554889575
1300309,750,N,30,8,CA,CM,80,0,0,15,13,0.47,15.47,0.1148644814,0.122175427,0.0636484444,18.9971512133,16,28,17,64.61,298.47,0.2506666667,0.7481648,18.9971512133
5500238,300,S,25,10,CA,CM,99,12,99,17,8,0.85,17.85,0.0907920277,0.1000982105,0.1025,19.1675,23,23,11,38.73,187,0.3,0.561,19.1675
5500071,300,N,35,10,CA,CM,99,12,99,12,15,0.38,12.38,0.0848230016,0.0902801837,0.0643361111,18.9842996667,15,41,15,48.13,295.08,0.2533333333,0.747536,18.9842996667
1400496,310,O,10,8,RB,FC,70,3,99,20,15,0.34,20.34,0.235619449,0.2436986043,0.034289,18.83426192,18,48,17,62.5,549.28,0.136,0.7470208,18.83426192
1300481,945,E,12,13,CA,FC,60,1,15,10,9,0.26,10.26,0.0353429174,0.0372046409,0.052676,18.81744748,21,110,15,54.06,357.23,0.156,0.5572788,18.81744748
3300577,490,E,27,9,CA,FC,100,6,0,14,12,0.3,14.3,0.092362824,0.0963636423,0.0433163265,18.7680979592,16,91,18,47.73,433.28,0.1714285714,0.7427657143,18.7680979592
900201,610,N,18,15,CA,FU,80,0,0,22,16,0.43,22.43,0.3041061689,0.3161101316,0.0394729339,18.6908289236,27,75,15,52.05,473.51,0.1172727273,0.5552980909,18.6908289236
4100017,840,S,30,15,CA,SG,80,7,0,15,12,0.44,15.44,0.1060287521,0.1123403374,0.0595271111,18.7450872889,17,63,23,37.92,314.9,0.2346666667,0.7389653333,18.7450872889
3800672,1540,E,36,11,AN,CM,100,0,0,14,16,0.2,14.2,0.123150432,0.1266941485,0.0287755102,18.5656714286,31,48,19,76.32,645.19,0.0857142857,0.55302,18.5656714286
1400012,520,E,20,10,CA,CM,90,4,0,10,10,0.5,10.5,0.0392699082,0.0432950738,0.1025,18.871275,11,40,11,30.39,184.11,0.4,0.73644,18.871275
3400417,1000,S,34,8,AF,FC,80,0,0,14,13,0.44,14.44,0.100059726,0.106448029,0.063844898,18.6637790204,37,44,20,38.03,292.33,0.1885714286,0.5512508571,18.6637790204
4400284,600,S,30,12,CA,FC,100,2,99,20,16,0.25,20.25,0.2513274123,0.2576498675,0.02515625,18.4765109375,33,110,22,68.25,734.47,0.075,0.5508525,18.4765109375
1200011,850,N,15,10,CA,CM,90,1,0,13,10,0.18,13.18,0.0663661448,0.0682167,0.0278840237,18.4555987456,19,28,12,24.54,661.87,0.1107692308,0.7331483077,18.4555987456
800059,1440,S,33,9,FG,CM,100,2,0,23,18,0.6,23.6,0.3739280656,0.393691825,0.0528544423,18.5651228733,19,37,24,48.03,351.25,0.2086956522,0.7330434783,18.5651228733
1300221,630,S,0,8,AN,CM,90,1,0,17,18,0.44,17.44,0.2042820623,0.2149935109,0.0524346021,18.488440692,23,50,28,50.04,352.6,0.1552941176,0.5475670588,18.488440692
1200181,960,O,25,8,CA,CM,90,3,0,16,12,0.33,16.33,0.1206371579,0.1256647586,0.0416753906,18.4255237031,27,27,15,28.5,442.12,0.12375,0.5471235,18.4255237031
3200107,740,O,27,11,CA,FC,100,3,0,12,12,0.29,12.29,0.0678584013,0.0711778552,0.0489173611,18.4530961319,16,66,16,48.96,377.23,0.1933333333,0.7293113333,18.4530961319
100094,250,A,0,8,SP,FC,90,3,99,19,13,0.4,19.4,0.184293679,0.1921350943,0.0425484765,18.247765097,20,59,23,53.48,428.87,0.1263157895,0.5417305263,18.247765097
1200314,530,E,10,8,CA,FU,80,0,0,14,11,0.37,14.37,0.084665922,0.0892002573,0.0535556122,18.2672837806,26,43,19,35.23,341.09,0.1585714286,0.5408712857,18.2672837806
1400443,660,E,15,8,RB,CM,80,0,99,16,11,0.2,16.2,0.1105840614,0.1133659417,0.02515625,18.060175,10,65,18,64.35,717.92,0.1,0.71792,18.060175
1200304,700,S,20,8,CA,CM,70,5,0,19,16,0.25,19.25,0.2268229896,0.2328312855,0.0264889197,18.024650277,36,79,18,70,680.46,0.0789473684,0.5372052632,18.024650277
6000063,417,O,14,8,RI,RI,100,3,20,17,18,0.34,17.34,0.2042820623,0.2125350576,0.0404,17.97598,26,43,26,51.42,444.95,0.12,0.53394,17.97598
3400477,1600,N,47,8,PE,FU,70,0,0,25,14,0.28,25.28,0.3436116965,0.3513517011,0.02252544,17.8962368256,72,57,22,79.16,794.49,0.0448,0.35593152,17.8962368256
1100083,725,E,21,8,CA,IN,100,1,0,12,13,0.51,12.51,0.0735132681,0.0798946792,0.08680625,18.1694161875,13,31,14,27.91,209.31,0.34,0.711654,18.1694161875
1400608,480,N,25,8,RB,CM,60,2,99,12,12,0.32,12.32,0.0678584013,0.0715257709,0.0540444444,18.0254435556,19,14,10,46.51,333.53,0.2133333333,0.7115306667,18.0254435556
800286,840,N,36,8,AF,FU,100,2,0,22,20,0.7,22.7,0.3801327111,0.4047078196,0.0646487603,17.9839921488,11,34,20,41.22,278.18,0.2545454545,0.7080945455,17.9839921488
5900186,260,N,5,10,AN,FC,100,0,99,13,9,0.35,13.35,0.0597295303,0.0629890309,0.0545710059,17.8376247041,19,65,17,43.29,326.87,0.2153846154,0.7040276923,17.8376247041
2900210,920,N,15,12,AF,FU,80,6,0,11,9,0.27,11.27,0.04276493,0.0448900643,0.0496933884,17.789736124,22,72,15,48.42,357.99,0.1472727273,0.5272216364,17.789736124
600103,1120,S,15,9,AF,FU,90,4,0,17,12,0.36,17.36,0.1361880415,0.1420170782,0.0428013841,17.7561541869,20,69,18,51.41,414.85,0.1270588235,0.5271035294,17.7561541869
1200082,640,O,30,10,CA,CM,90,12,0,19,14,0.34,19.34,0.1984701159,0.2056368113,0.0361096953,17.6771402327,22,35,14,33.61,489.54,0.1073684211,0.5256113684,17.6771402327
5400003,236,S,34,10,QC,FC,90,8,99,13,13,0.26,13.26,0.0862759882,0.0897615382,0.0404,17.642276,21,41,26,45.95,436.69,0.12,0.524028,17.642276
1200009,750,E,37,9,CA,CM,70,2,0,14,13,0.23,14.23,0.100059726,0.1033744086,0.0331270408,17.6040407602,28,22,15,30.42,531.41,0.0985714286,0.5238184286,17.6040407602
5400181,215,O,25,10,RB,IN,100,1,99,10,16,0.4,10.4,0.0628318531,0.0679589323,0.0816,17.787984,17,39,21,26.27,217.99,0.32,0.697568,17.787984
1100255,850,E,7,12,CA,CM,60,0,0,15,9,0.6,15.6,0.079521564,0.0860105237,0.0816,17.758608,11,65,11,32.8,217.63,0.32,0.696416,17.758608
3800161,1084,E,14,11,FG,FU,100,0,0,12,12,0.2,12.2,0.0678584013,0.0701391976,0.0336111111,17.5446638889,35,64,33,45.23,521.99,0.1,0.52199,17.5446638889
1200062,750,O,15,8,CA,CM,80,22,0,12,11,0.15,12.15,0.0622035345,0.0637683422,0.02515625,17.494159375,30,25,12,40.93,695.42,0.075,0.521565,17.494159375
2100020,910,S,23,12,FG,FC,80,0,0,15,17,0.37,15.37,0.1502073987,0.1577090233,0.0499417778,17.5929900578,38,41,20,45.61,352.27,0.148,0.5213596,17.5929900578
1200404,850,E,25,15,CA,CM,80,17,0,15,10,0.28,15.28,0.0883572934,0.0916867533,0.0376817778,17.4877362489,20,34,14,22.22,464.09,0.112,0.5197808,17.4877362489
1200225,1100,O,30,8,CA,CM,80,5,0,15,11,0.28,15.28,0.0971930227,0.1008554286,0.0376817778,17.4462862933,30,29,11,31.56,462.99,0.112,0.5185488,17.4462862933
5400135,215,N,25,10,CA,CM,100,6,99,10,13,0.5,10.5,0.0510508806,0.0562835959,0.1025,17.672025,10,20,14,30.03,172.41,0.4,0.68964,17.672025
5500252,270,S,15,8,RB,FC,99,0,99,10,8,0.9,10.9,0.0314159265,0.0373252623,0.1881,18.008694,11,17,9,16.69,95.74,0.72,0.689328,18.008694
1100187,840,E,28,8,CA,CM,80,0,0,17,12,0.45,17.45,0.1361880415,0.1434934225,0.0536418685,17.4502362457,22,63,10,51.92,325.31,0.1588235294,0.5166688235,17.4502362457
4100265,208,A,0,9,QC,FC,100,0,99,8,9,0.37,8.37,0.0226194671,0.0247601523,0.0946390625,17.5669027813,13,46,16,15.61,185.62,0.37,0.686794,17.5669027813
3800670,750,E,38,10,AF,CM,95,2,0,15,17,0.32,15.32,0.1502073987,0.1566846088,0.0431217778,17.3345234489,28,39,22,53.51,401.99,0.128,0.5145472,17.3345234489
2600158,680,E,30,12,CA,CM,100,9,0,12,8,0.49,12.49,0.0452389342,0.0490088768,0.0833340278,17.3384778194,23,32,14,28.14,208.06,0.245,0.509747,17.3384778194
6200449,340,O,13,10,RB,CM,100,2,0,13,17,0.52,13.52,0.1128224462,0.1220287578,0.0816,17.269008,14,33,22,24.53,211.63,0.32,0.677216,17.269008
6200411,105,A,0,10,SP,FU,80,8,0,39,22,0.83,39.83,1.3140496672,1.3705761789,0.0430170283,17.1095928245,25,70,30,39.45,397.74,0.1276923077,0.5078833846,17.1095928245
400446,200,E,40,10,QV,SG,75,4,15,8,8,0.23,8.23,0.020106193,0.0212789181,0.0583265625,17.1725065313,16,34,17,46.76,294.42,0.23,0.677166,17.1725065313
5300129,185,E,3,10,QC,FU,80,0,99,21,20,0.46,21.46,0.3463605901,0.3617006728,0.0442893424,17.0872711927,20,43,27,43.8,385.81,0.1314285714,0.5070645714,17.0872711927
4400270,300,E,5,15,QC,FU,90,6,99,33,21,0.75,33.75,0.8980635299,0.9393484753,0.0459710744,17.0387190083,31,57,17,31.49,370.64,0.1363636364,0.5054181818,17.0387190083
1400638,440,E,20,10,BS,FU,50,1,30,22,26,0.6,22.6,0.4941725244,0.5214949557,0.0552892562,17.0694520661,22,26,26,40.34,308.73,0.1636363636,0.5051945455,17.0694520661
6100001,310,N,8,10,CA,FU,80,0,30,26,16,0.48,26.48,0.4247433268,0.4405709219,0.0372639053,16.9833974911,25,49,21,40.19,455.76,0.1107692308,0.5048418462,16.9833974911
1200305,620,O,10,8,CA,CM,90,0,0,16,12,0.25,16.25,0.1206371579,0.1244365215,0.0314941406,16.9573901367,23,24,10,29.13,538.43,0.09375,0.504778125,16.9573901367
700858,810,S,32,14,CA,FC,80,2,10,11,12,0.31,11.31,0.0570199067,0.060279042,0.0571578512,17.0261807273,19,71,16,30.86,297.88,0.2254545455,0.671584,17.0261807273
1200398,850,N,30,13,CA,FU,90,0,0,14,9,0.3,14.3,0.069272118,0.0722727317,0.0433163265,16.9267209184,24,58,12,39.89,390.77,0.1285714286,0.5024185714,16.9267209184
1000197,1430,N,32,10,AB,FU,100,0,0,20,12,0.31,20.31,0.1884955592,0.1943842076,0.03124025,16.8769202575,29,42,18,57.01,540.23,0.093,0.5024139,16.8769202575
5600008,310,A,0,9,AN,FU,80,2,0,40,18,0.65,40.65,1.1309733553,1.168028637,0.0327640625,16.8829937656,28,53,24,54.39,515.29,0.0975,0.50240775,16.8829937656
6000074,336,S,10,10,QC,FU,90,2,99,18,16,0.42,18.42,0.203575204,0.2131862155,0.0472111111,16.9247112222,19,57,23,36.87,358.49,0.1866666667,0.6691813333,16.9247112222
1300472,966,O,19,13,CA,CM,60,0,5,12,9,0.27,12.27,0.050893801,0.053209787,0.04550625,16.9142180625,25,74,9,53.73,371.69,0.135,0.5017815,16.9142180625
6200581,157,E,5,10,QC,FC,100,2,0,12,10,0.4,12.4,0.0565486678,0.0603814108,0.0677777778,16.9681666667,14,49,28,27.21,250.35,0.2666666667,0.6676,16.9681666667
1200155,890,O,15,10,CA,FU,60,0,0,11,8,0.27,11.27,0.0380132711,0.0399022794,0.0496933884,16.8937643306,15,84,11,38.6,339.96,0.1963636364,0.6675578182,16.8937643306
6100106,280,O,16,14,RB,CM,90,3,99,10,14,0.3,10.3,0.0549778714,0.0583260238,0.0609,16.938726,17,61,21,31.11,278.14,0.24,0.667536,16.938726
6000001,116,A,0,10,SP,FU,70,4,99,21,22,0.38,21.38,0.3809966491,0.3949098519,0.0365179138,16.8387752472,22,51,27,46.23,461.11,0.1085714286,0.5006337143,16.8387752472
600022,655,N,28,9,CA,CM,80,0,0,16,9,0.45,16.45,0.0904778684,0.0956388179,0.0570410156,16.8824293945,17,53,13,42.77,295.97,0.225,0.6659325,16.8824293945
2900236,1000,N,15,15,AF,IN,90,2,0,16,15,0.42,16.42,0.1507964474,0.158817169,0.0531890625,16.8056161875,16,90,23,44.95,315.96,0.21,0.663516,16.8056161875
6100080,310,S,4,10,RB,CM,100,9,99,10,14,0.36,10.36,0.0549778714,0.0590075295,0.073296,16.8617448,14,26,24,30.95,230.05,0.288,0.662544,16.8617448
6100208,260,O,20,10,QC,FU,90,4,99,22,21,0.35,22.35,0.3991393466,0.4119402568,0.032071281,16.6953467459,30,56,23,53.39,520.57,0.0954545455,0.4969077273,16.6953467459
1400636,300,N,32,8,AF,FC,80,5,10,23,18,0.42,23.42,0.3739280656,0.3877092587,0.0368551985,16.6884024272,31,50,20,51.47,452.81,0.1095652174,0.4961222609,16.6884024272
400438,215,S,40,10,RB,FU,60,3,10,12,11,0.45,12.45,0.0622035345,0.0669562734,0.07640625,16.823128125,12,34,22,26.83,220.18,0.3,0.66054,16.823128125
1200264,1000,E,35,8,FG,CM,70,15,0,15,15,0.2,15.2,0.1325359401,0.1360937938,0.0268444444,16.6006044444,41,29,15,53.5,618.4,0.08,0.49472,16.6006044444
5500290,320,O,20,9,CA,CM,99,4,99,16,9,0.5,16.5,0.0904778684,0.0962210925,0.0634765625,16.7311523438,18,55,13,44.5,263.58,0.25,0.65895,16.7311523438
1200171,900,O,15,11,CA,FU,80,0,0,20,11,0.32,20.32,0.1727875959,0.1783610326,0.032256,16.54829568,31,90,20,54.27,513.03,0.096,0.4925088,16.54829568
6300215,210,O,31,9,QV,FU,80,0,0,22,22,0.5,22.5,0.4181459822,0.4373686022,0.0459710744,16.5872830579,33,44,26,41.62,360.82,0.1363636364,0.4920272727,16.5872830579
5500277,340,N,5,9,CA,CM,99,6,99,11,8,0.6,11.6,0.0380132711,0.0422732707,0.1120661157,16.7337123967,10,25,10,37.2,149.32,0.4363636364,0.6515781818,16.7337123967
1000243,840,A,0,12,BS,FU,75,0,0,11,11,0.34,11.34,0.0522682478,0.0555493114,0.0627735537,16.5402036694,20,48,28,32,263.49,0.1854545455,0.4886541818,16.5402036694
6200409,110,A,0,10,QC,FC,100,0,0,28,22,0.32,28.32,0.6773273761,0.692897612,0.0229877551,16.3663621224,30,71,36,68.02,711.96,0.0685714286,0.4882011429,16.3663621224
1100197,810,O,28,15,CA,FU,70,0,0,15,13,0.61,15.61,0.1148644814,0.1243967529,0.0829871111,16.5924429956,21,59,10,26.08,199.94,0.244,0.4878536,16.5924429956
