ADS_N,elevation,aspect,slope,plot_radius,ForCat,ASSETTO,CanopyCover,nDeadTrees,DEFOGLIAZIONE,sDBH,sH,incr_cm_y,sDBH2,vol_i_1,vol_i_2,pV_new,CAI_m3_ha_y,Age,dom_DBH,TH,BasalArea_ha,GS_ha,pV,CAI_mc_ha_anno,
6300308,111,A,0,10,AS,SG,70,2,0,16,8,0.43,16.43,0.0804247719,0.0848056915,0.0544722656,5.5501791445,15,55,13,11.65,101.89,0.215,0.2190635,5.5501791445
1300195,760,E,34,10,QR,FC,70,4,0,12,13,0.1,12.1,0.0735132681,0.0747435943,0.0167361111,5.4984819444,26,45,15,51.68,328.54,0.05,0.16427,5.4984819444
1100098,1180,E,45,10,AF,CM,90,0,0,11,9,0.18,11.18,0.04276493,0.0441759606,0.0329950413,5.519080562,35,17,13,16.3,167.27,0.0981818182,0.1642287273,5.519080562
6200427,210,A,0,10,QC,CM,100,8,0,14,20,0.2,14.2,0.15393804,0.1583676857,0.0287755102,5.5133877551,33,46,26,21.44,191.6,0.0857142857,0.1642285714,5.5133877551
2500134,800,E,20,8,CA,FC,70,7,0,20,14,0.2,20.2,0.2199114858,0.2243317066,0.0201,5.500968,48,38,15,38.24,273.68,0.06,0.164208,5.500968
2800439,810,N,15,10,BS,IN,70,3,0,24,17,0.36,24.36,0.3845309408,0.3961533885,0.030225,5.51334225,33,38,19,25.51,182.41,0.09,0.164169,5.51334225
200328,630,O,20,8,CA,CM,100,2,0,26,14,0.22,26.22,0.3716504109,0.3779664887,0.0169946746,5.4952280178,40,50,12,51.64,323.35,0.0507692308,0.1641623077,5.4952280178
1100249,1100,O,29,12,BS,FU,70,4,0,18,13,0.4,18.4,0.1654048532,0.1728378614,0.0449382716,5.5310024691,21,43,27,22.44,123.08,0.1333333333,0.1641066667,5.5310024691
5800415,270,N,45,12,RB,FC,100,2,99,15,15,0.4,15.4,0.1325359401,0.1396987713,0.0540444444,5.5427982222,15,17,18,16.45,102.56,0.2133333333,0.2187946667,5.5427982222
2800209,500,E,10,10,QC,FC,80,1,0,21,12,0.15,21.15,0.207816354,0.210795762,0.0143367347,5.4888188776,35,50,26,43.99,382.85,0.0428571429,0.1640785714,5.4888188776
3000184,1125,N,30,12,AB,FU,100,5,0,34,19,0.29,34.29,0.862524263,0.8773006616,0.0171315744,5.4922114351,88,61,24,38.96,320.59,0.0341176471,0.1093777647,5.4922114351
6300212,250,O,35,9,RB,SG,50,1,0,12,12,0.5,12.5,0.0678584013,0.0736310778,0.0850694444,5.58140625,12,18,15,10.64,65.61,0.3333333333,0.2187,5.58140625
2900222,1130,O,20,12,FG,FC,70,5,0,20,11,0.22,20.22,0.1727875959,0.1766098304,0.022121,5.4970685,32,51,15,32.81,248.5,0.066,0.16401,5.4970685
4100244,1350,E,33,9,FG,FU,80,0,99,23,18,0.21,23.21,0.3739280656,0.3807874897,0.0183442344,5.4917134537,60,45,20,36.03,299.37,0.0365217391,0.1093351304,5.4917134537
5400256,205,N,18,14,CA,CM,100,30,99,17,14,0.22,17.22,0.1588860485,0.1630250025,0.026049827,5.5019839585,33,28,19,31.84,211.21,0.0776470588,0.1639983529,5.5019839585
900068,845,N,30,15,FG,FU,90,6,0,16,15,0.3,16.3,0.1507964474,0.1565043285,0.0378515625,5.51724375,25,60,24,15.68,145.76,0.1125,0.16398,5.51724375
6100047,210,O,5,10,SP,CM,30,1,0,22,12,0.9,22.9,0.2280796267,0.2471223905,0.0834917355,5.5747431818,12,25,15,9.48,66.77,0.3272727273,0.21852,5.5747431818
4100100,1315,O,29,9,FG,CM,90,2,99,18,8,0.21,18.21,0.101787602,0.1041765004,0.0234694444,5.4911459167,26,24,13,41.25,233.97,0.07,0.163779,5.4911459167
1300562,1000,O,27,12,CA,CM,75,3,0,12,6,0.14,12.14,0.0339292007,0.0347255001,0.0234694444,5.4911459167,38,38,6,50.14,233.97,0.07,0.163779,5.4911459167
2900064,710,A,0,15,RI,RI,30,0,0,28,8,0.33,28.33,0.246300864,0.2521407392,0.0237103316,5.4908385995,36,65,26,25.51,231.58,0.0707142857,0.1637601429,5.4908385995
500051,275,N,36,10,QR,FU,80,5,99,20,12,0.47,20.47,0.1884955592,0.1974589472,0.04755225,5.522718315,29,20,16,20.01,116.14,0.141,0.1637574,5.522718315
5400174,230,E,3,10,QV,CM,80,0,99,14,7,0.21,14.21,0.053878314,0.055506786,0.030225,5.49822975,23,24,10,29.84,181.91,0.09,0.163719,5.49822975
6100165,240,A,0,10,RB,CM,90,1,99,11,15,0.63,11.63,0.0712748833,0.0796728906,0.1178256198,5.6132125289,10,24,18,6.71,47.64,0.4581818182,0.2182778182,5.6132125289
2300229,560,N,29,8,CA,CM,100,4,99,20,18,0.13,20.13,0.2827433388,0.2864309481,0.01304225,5.4737019025,44,36,16,56.78,419.69,0.039,0.1636791,5.4737019025
5900249,310,O,5,10,QC,CM,80,6,99,17,11,0.35,17.35,0.1248390381,0.1300323853,0.041600346,5.5112138408,15,35,20,22.6,132.48,0.1647058824,0.2182023529,5.5112138408
800278,1050,N,29,10,BS,IN,80,56,0,10,9,0.33,10.33,0.0353429174,0.0377140383,0.067089,5.54423496,11,50,16,10.66,82.64,0.264,0.2181696,5.54423496
1000152,1620,N,28,12,LC,FU,70,0,0,16,10,0.21,16.21,0.1005309649,0.1031872208,0.0264222656,5.4894899063,44,36,19,28.33,207.76,0.07875,0.163611,5.4894899063
3400303,1170,N,49,17,AB,FU,40,1,0,37,21,0.31,37.31,1.12897059,1.1479677261,0.016826954,5.4689283134,125,67,25,33.47,325.01,0.0335135135,0.1089222703,5.4689283134
6200454,300,A,0,10,AF,FU,90,0,0,18,21,0.24,18.24,0.2671924552,0.2743650882,0.0268444444,5.4802933333,24,39,23,25.42,204.15,0.08,0.16332,5.4802933333
2300026,440,O,24,9,QV,FC,90,5,0,27,17,0.28,27.28,0.4866719719,0.4968182481,0.0208482853,5.46996462,35,34,17,32.19,262.37,0.0622222222,0.1632524444,5.46996462
2800415,800,N,35,10,QV,FU,90,5,0,27,21,0.24,27.24,0.6011830242,0.6119182233,0.0178567901,5.465606321,47,32,25,37.56,306.08,0.0533333333,0.1632426667,5.465606321
4100443,860,N,37,10,CA,CM,100,4,99,24,15,0.22,24.22,0.3392920066,0.34554087,0.0184173611,5.4649835625,35,37,16,39.65,296.73,0.055,0.1632015,5.4649835625
2800206,470,A,0,10,RB,FC,80,2,0,8,12,0.1,8.1,0.0301592895,0.0309179841,0.02515625,5.474,26,28,23,33,217.6,0.075,0.1632,5.474
2100080,930,N,22,12,FG,FC,70,0,0,12,12,0.14,12.14,0.0678584013,0.0694510003,0.0234694444,5.4716662778,30,45,17,30.61,233.14,0.07,0.163198,5.4716662778
5500279,300,S,0,12,RB,FC,99,0,99,8,7,0.9,8.9,0.0175929189,0.021773986,0.23765625,5.7441515625,11,12,8,3.51,24.17,0.9,0.21753,5.7441515625
300324,230,A,0,13,QV,FC,90,0,0,12,15,0.22,12.22,0.0848230016,0.0879616883,0.0370027778,5.4878819722,31,42,18,29.48,148.31,0.11,0.163141,5.4878819722
4500173,496,E,25,12,AF,FU,95,8,99,23,18,0.17,23.17,0.3739280656,0.3794761261,0.0148372401,5.4572852722,35,54,23,37.64,367.81,0.0443478261,0.1631157391,5.4572852722
3400281,740,S,39,9,CA,CM,70,19,10,18,12,0.08,18.08,0.152681403,0.1540415869,0.008908642,5.4460310123,57,33,9,92.87,611.32,0.0266666667,0.1630186667,5.4460310123
1000049,735,O,33,10,AF,SG,100,0,0,17,14,0.29,17.29,0.1588860485,0.164353103,0.0344086505,5.4802657682,28,29,18,24.7,159.27,0.1023529412,0.1630175294,5.4802657682
1400449,540,N,20,10,CA,CM,80,5,99,17,15,0.3,17.3,0.1702350519,0.1762963622,0.0356055363,5.4804041522,25,27,12,29.31,153.92,0.1058823529,0.1629741176,5.4804041522
2100284,460,S,15,8,AN,FC,70,11,0,18,19,0.25,18.25,0.2417455547,0.248507342,0.027970679,5.4693865741,39,26,20,32.68,195.54,0.0833333333,0.16295,5.4693865741
6100195,350,E,5,11,QV,FU,50,3,99,11,12,0.15,11.15,0.0570199067,0.0585855979,0.0274586777,5.467297314,21,40,24,24.23,199.11,0.0818181818,0.1629081818,5.467297314
4400607,520,S,27,11,CA,CM,90,27,99,23,18,0.15,23.15,0.3739280656,0.3788212925,0.0130860113,5.4471830813,75,34,22,49.36,416.26,0.0260869565,0.1085895652,5.4471830813
100015,1150,O,5,10,FG,FU,90,1,0,22,12,0.16,22.16,0.2280796267,0.2314092122,0.0145983471,5.4491250248,71,75,19,39.86,373.27,0.0290909091,0.1085876364,5.4491250248
3800313,590,N,25,10,CA,FC,100,0,99,15,20,0.24,15.24,0.1767145868,0.1824146925,0.032256,5.47255296,29,29,23,27.42,169.66,0.096,0.1628736,5.47255296
5700090,300,A,0,10,RB,IN,90,2,99,15,14,0.52,15.52,0.1237002107,0.1324254188,0.0705351111,5.5228992,12,15,14,12.67,78.3,0.2773333333,0.217152,5.5228992
1400415,370,E,30,10,CA,CM,30,5,99,18,10,0.27,18.27,0.1272345025,0.1310801653,0.030225,5.46800475,25,33,8,40.65,180.91,0.09,0.162819,5.46800475
1100373,1050,N,29,10,BS,CM,90,1,0,11,11,0.44,11.44,0.0522682478,0.0565333368,0.0816,5.53248,16,22,11,18.57,67.8,0.32,0.21696,5.53248
3800406,765,O,2,10,BS,FU,70,2,20,15,19,0.29,15.29,0.1678788574,0.1744329226,0.0390404444,5.4750319289,13,30,20,18.41,140.24,0.1546666667,0.2169045333,5.4750319289
200048,330,O,40,10,CA,CM,70,2,0,11,9,0.28,11.28,0.04276493,0.0449697626,0.0515570248,5.4908231405,18,30,15,20.83,106.5,0.2036363636,0.2168727273,5.4908231405
4500144,1065,O,10,12,BS,FU,90,1,99,11,9,0.18,11.18,0.04276493,0.0441759606,0.0329950413,5.4649686942,32,28,15,25.31,165.63,0.0981818182,0.1626185455,5.4649686942
1100326,1250,S,35,10,CA,CM,80,6,0,17,10,0.43,17.43,0.1134900346,0.1193039052,0.0512280277,5.4875463253,13,25,10,28.25,107.12,0.2023529412,0.2167604706,5.4875463253
300018,630,S,34,10,CA,FU,90,8,0,26,13,0.25,26.25,0.345103953,0.3517724743,0.0193232249,5.4443186021,39,47,17,44.28,281.75,0.0576923077,0.1625480769,5.4443186021
4400079,560,O,17,10,CA,CM,20,23,99,19,19,0.18,19.18,0.2693523001,0.274479992,0.0190371191,5.443093097,26,30,19,37.57,285.92,0.0568421053,0.1625229474,5.443093097
5200004,210,O,13,14,RB,CM,75,4,0,19,23,0.3,19.3,0.3260580475,0.3364359062,0.0318282548,5.4585457064,28,23,23,26,171.5,0.0947368421,0.1624736842,5.4585457064
1000109,920,O,32,12,CA,FU,90,2,0,29,16,0.16,29.16,0.5284158843,0.5342627653,0.0110649227,5.4293362759,33,72,14,55.16,490.68,0.0331034483,0.162432,5.4293362759
1100111,1575,N,39,10,FG,CM,90,7,0,12,9,0.23,12.23,0.050893801,0.0528634264,0.0387006944,5.4653120694,47,33,15,30.75,141.22,0.115,0.162403,5.4653120694
5200024,180,N,20,10,RB,IN,75,0,0,9,9,0.5,9.5,0.0286277631,0.0318969829,0.1141975309,5.5637037037,8,27,17,7.32,48.72,0.4444444444,0.2165333333,5.5637037037
3800490,830,N,34,10,FG,FU,90,6,0,19,18,0.23,19.23,0.2551758633,0.261391198,0.0243570637,5.4459958753,39,34,20,34.99,223.59,0.0726315789,0.1623969474,5.4459958753
3800307,740,E,34,10,CA,CM,60,1,99,22,14,0.24,22.24,0.2660928978,0.2719302282,0.0219371901,5.4423974876,37,27,15,37.1,248.09,0.0654545455,0.1623861818,5.4423974876
6100049,410,N,10,10,CA,CM,90,22,0,16,23,0.18,16.18,0.2312212193,0.2364529607,0.0226265625,5.4398781562,27,23,19,31.85,240.42,0.0675,0.1622835,5.4398781562
5500224,380,S,5,12,QC,FC,99,3,99,17,8,0.2,17.2,0.0907920277,0.0929408771,0.0236678201,5.4407584775,15,55,13,31.77,229.88,0.0941176471,0.2163576471,5.4407584775
3800150,740,E,25,13,FG,FU,100,16,0,21,19,0.34,21.34,0.3290425606,0.3397835245,0.0326430839,5.4523743039,32,47,26,22.53,167.03,0.0971428571,0.1622577143,5.4523743039
1200344,1140,O,30,15,FG,FU,90,0,0,18,9,0.28,18.28,0.1145110522,0.1181013271,0.0313530864,5.4501070123,43,59,17,23.23,173.83,0.0933333333,0.1622413333,5.4501070123
2900008,780,O,40,10,CA,FC,80,2,0,25,12,0.2,25.2,0.2945243113,0.2992555498,0.016064,5.42931072,45,61,9,55.3,337.98,0.048,0.1622304,5.42931072
1300030,500,E,32,10,CA,CM,70,3,0,14,8,0.26,14.26,0.061575216,0.0638835326,0.0374877551,5.4574673878,23,35,13,26.56,145.58,0.1114285714,0.1622177143,5.4574673878
6200565,320,O,10,10,RB,CM,70,4,50,10,10,0.43,10.43,0.0392699082,0.0427197303,0.087849,5.52306663,12,26,17,7.89,62.87,0.344,0.2162728,5.52306663
2800327,440,N,40,10,RB,SG,70,0,0,13,8,0.21,13.21,0.0530929158,0.0548220799,0.0325686391,5.4503617456,30,25,16,24.81,167.35,0.0969230769,0.1622007692,5.4503617456
6000132,276,A,0,17,QC,FU,99,3,0,14,9,0.25,14.25,0.069272118,0.0717682115,0.0360331633,5.4521779337,15,70,15,14.39,151.31,0.1428571429,0.2161571429,5.4521779337
3200129,890,O,20,10,CA,CC,95,7,0,36,23,0.4,36.4,1.1705574227,1.1967143232,0.022345679,5.4337987654,31,41,13,35.22,243.17,0.0666666667,0.1621133333,5.4337987654
3300009,240,A,0,8,QC,FU,95,1,0,21,19,0.21,21.21,0.3290425606,0.335656316,0.0201,5.430216,24,43,22,37.66,270.16,0.06,0.162096,5.430216
6200418,175,A,0,11,PS,FC,100,6,0,24,18,0.37,24.37,0.4071504079,0.4198009811,0.0310710069,5.4436404167,45,44,19,21.98,175.2,0.0925,0.16206,5.4436404167
3800589,650,N,46,10,FG,CM,80,2,99,19,17,0.26,19.26,0.2409994264,0.2476403292,0.0275556787,5.4383887424,36,32,18,29.42,197.36,0.0821052632,0.1620429474,5.4383887424
4100267,280,N,21,8,QV,CM,90,3,99,26,21,0.25,26.25,0.5574756164,0.5682478431,0.0193232249,5.425575074,26,28,25,48.62,280.78,0.0576923077,0.1619884615,5.425575074
800340,1190,O,16,11,FG,CM,80,1,0,16,11,0.15,16.15,0.1105840614,0.1126672319,0.0188378906,5.4209797852,53,36,15,38.85,287.77,0.05625,0.161870625,5.4209797852
900093,1100,E,39,10,FG,CM,90,0,0,17,11,0.13,17.13,0.1248390381,0.1267556413,0.0153525952,5.416088519,37,29,17,47.96,352.78,0.0458823529,0.1618637647,5.416088519
3800431,420,N,37,10,CA,FC,100,3,0,18,14,0.38,18.38,0.1781283035,0.1857286643,0.0426679012,5.4516777407,18,27,15,21.02,127.77,0.1688888889,0.2157893333,5.4516777407
200099,459,N,12,10,CA,CM,80,3,0,17,12,0.33,17.33,0.1361880415,0.1415266599,0.039200346,5.4464960761,23,38,16,26.66,138.94,0.1164705882,0.1618242353,5.4464960761
5800204,290,O,28,10,RB,FU,70,0,99,14,12,0.35,14.35,0.092362824,0.097038692,0.050625,5.4604125,15,20,16,16.97,107.86,0.2,0.21572,5.4604125
2800052,450,E,25,14,CA,FC,90,7,0,20,20,0.22,20.22,0.3141592654,0.3211087825,0.022121,5.4218571,38,56,22,30.23,245.1,0.066,0.161766,5.4218571
2100017,890,N,34,11,AF,CM,60,5,0,15,14,0.19,15.19,0.1237002107,0.1268537964,0.0254937778,5.4255857867,40,53,19,29.73,212.82,0.076,0.1617432,5.4255857867
1100137,490,E,49,10,AF,SG,60,2,0,19,7,0.2,19.2,0.0992350579,0.1013352126,0.0211634349,5.4180509695,44,36,9,25.63,256.01,0.0631578947,0.1616905263,5.4180509695
2100004,1290,E,33,10,BS,IN,50,1,60,13,7,0.18,13.18,0.0464563014,0.04775169,0.0278840237,5.4265098462,33,50,19,32.24,194.61,0.0830769231,0.161676,5.4265098462
5700022,290,A,0,14,QC,FC,100,4,99,22,20,0.46,22.46,0.3801327111,0.3961953602,0.0422553719,5.4454497769,27,48,26,19.18,128.87,0.1254545455,0.1616732727,5.4454497769
2600415,980,N,18,15,RI,RI,80,12,0,12,11,0.33,12.33,0.0622035345,0.0656717704,0.05575625,5.46188225,15,28,15,19.12,97.96,0.22,0.215512,5.46188225
6200554,310,A,0,10,QC,FU,100,3,0,11,7,0.2,11.2,0.0332616122,0.034482121,0.0366942149,5.436614876,22,45,27,15.91,148.16,0.1090909091,0.1616290909,5.436614876
4400422,475,O,21,10,CA,CM,100,30,99,11,16,0.24,11.24,0.0760265422,0.0793802552,0.0441123967,5.4456753719,14,20,17,23.6,123.45,0.1745454545,0.2154763636,5.4456753719
1200125,750,O,25,8,FG,CM,90,4,0,10,11,0.19,10.19,0.043196899,0.0448539752,0.038361,5.43767175,28,20,12,15.67,141.75,0.114,0.161595,5.43767175
1400494,575,E,40,9,CA,CM,90,13,99,19,14,0.35,19.35,0.1984701159,0.2058495207,0.0371814404,5.4344393352,28,31,20,32.05,146.16,0.1105263158,0.1615452632,5.4344393352
4400070,820,O,11,10,AF,FU,100,3,99,16,17,0.18,16.18,0.1709026404,0.1747695796,0.0226265625,5.4147626719,28,26,19,32.78,239.31,0.0675,0.16153425,5.4147626719
6000042,147,A,0,10,QC,FU,90,0,99,10,8,0.3,10.3,0.0314159265,0.0333291565,0.0609,5.464557,16,36,26,10.75,89.73,0.24,0.215352,5.464557
4100430,1040,S,31,10,FG,FU,90,5,99,19,16,0.14,19.14,0.2268229896,0.2301779592,0.0147911357,5.4030539723,32,44,17,46.98,365.29,0.0442105263,0.1614966316,5.4030539723
2900052,1210,O,40,10,FG,SG,80,2,0,16,7,0.16,16.16,0.0703716754,0.0717861461,0.0201,5.40891,40,42,12,40.84,269.1,0.06,0.16146,5.40891
6000003,105,A,0,12,SP,FU,90,20,99,29,27,0.2,29.2,0.8917018048,0.9040435516,0.0138406659,5.3988285375,30,40,29,39.1,390.07,0.0413793103,0.1614082759,5.3988285375
2600492,980,E,35,10,CA,CM,65,4,10,32,20,0.35,32.35,0.8042477193,0.8219368495,0.0219946289,5.4091390869,48,32,20,38.39,245.93,0.065625,0.1613915625,5.4091390869
3400492,1100,N,32,12,FG,FU,90,1,99,28,21,0.36,28.36,0.6465397681,0.6632719534,0.0258795918,5.4142694082,48,46,19,27.43,209.21,0.0771428571,0.1613905714,5.4142694082
800101,1620,N,33,10,FG,CM,100,9,0,16,14,0.15,16.15,0.1407433509,0.1433946587,0.0188378906,5.4044024414,41,30,20,43.73,286.89,0.05625,0.161375625,5.4044024414
5500069,240,O,10,10,RB,CM,99,6,99,12,11,0.41,12.41,0.0622035345,0.0665267234,0.0695006944,5.4683146389,12,35,22,14.32,78.68,0.2733333333,0.2150586667,5.4683146389
4100281,765,O,30,8,CA,CM,90,2,99,16,15,0.35,16.35,0.1507964474,0.1574659504,0.0442285156,5.4352422852,18,29,17,26.34,122.89,0.175,0.2150575,5.4352422852
3800682,1165,N,25,10,FG,CM,95,0,0,20,17,0.2,20.2,0.2670353756,0.2724027866,0.0201,5.403282,45,38,16,38.24,268.82,0.06,0.161292,5.403282
6300231,110,O,21,10,SP,SG,50,3,0,23,22,0.6,23.6,0.4570231913,0.4811788972,0.0528544423,5.4450646503,16,40,18,13.4,103.02,0.2086956522,0.2149982609,5.4450646503
800409,735,N,8,15,BS,FU,70,0,0,13,14,0.32,13.32,0.0929126027,0.097543059,0.0498366864,5.4406710533,24,89,20,15.45,109.17,0.1476923077,0.1612356923,5.4406710533
800350,860,E,25,15,QV,FU,100,1,0,22,17,0.41,22.41,0.3231128044,0.3352683215,0.0376200413,5.4244337583,24,35,20,22.86,144.19,0.1118181818,0.1612306364,5.4244337583
2300271,920,S,34,10,FG,CM,100,4,99,20,17,0.15,20.15,0.2670353756,0.2710559269,0.01505625,5.394052125,53,37,19,53.77,358.26,0.045,0.161217,5.394052125
2500106,1050,S,10,10,BS,IN,70,0,99,15,9,0.4,15.4,0.079521564,0.0838192628,0.0540444444,5.4417351111,20,51,21,15.35,100.69,0.16,0.161104,5.4417351111
500076,472,S,30,10,QR,FU,90,4,99,14,10,0.35,14.35,0.07696902,0.0808655767,0.050625,5.43560625,25,28,16,24.28,107.37,0.15,0.161055,5.43560625
2300134,1040,S,27,15,RI,RI,60,5,99,50,24,0.29,50.29,2.3561944902,2.3836056087,0.01163364,5.3826525552,58,55,23,45.77,462.68,0.0348,0.16101264,5.3826525552
3800618,820,O,30,10,CA,CM,100,11,0,23,14,0.36,23.36,0.2908329399,0.3000085267,0.0315493384,5.4085030775,36,33,15,30.33,171.43,0.0939130435,0.1609951304,5.4085030775
1300643,825,S,18,10,CA,FU,90,3,0,30,15,0.2,30.2,0.5301437603,0.5372359057,0.0133777778,5.3840204444,44,71,14,63.22,402.46,0.04,0.160984,5.3840204444
4100134,620,S,14,10,AF,IN,60,0,99,11,13,0.33,11.33,0.0617715656,0.0655334539,0.0609,5.445069,16,40,16,10.18,89.41,0.24,0.214584,5.445069
3000701,1835,O,20,12,LC,IN,50,6,0,18,11,0.4,18.4,0.1399579527,0.1462474212,0.0449382716,5.4240493827,33,40,13,19.51,120.7,0.1333333333,0.1609333333,5.4240493827
1200145,1370,O,30,10,FG,CM,90,15,0,20,16,0.22,20.22,0.2513274123,0.256887026,0.022121,5.3930998,50,28,21,43.86,243.8,0.066,0.160908,5.3930998
200215,1160,O,13,9,FG,CM,100,0,0,18,17,0.16,18.16,0.2162986542,0.2201610539,0.0178567901,5.3861436049,54,28,20,49.93,301.63,0.0533333333,0.1608693333,5.3861436049
3200078,1210,S,30,11,FG,CC,100,2,0,30,16,0.2,30.2,0.5654866776,0.5730516328,0.0133777778,5.379472,51,45,21,47.78,402.12,0.04,0.160848,5.379472
2900125,980,N,35,8,AF,IN,60,3,0,14,14,0.15,14.15,0.107756628,0.1100780686,0.0215433673,5.3890733418,16,31,20,37.68,250.15,0.0857142857,0.2144142857,5.3890733418
1400486,425,N,10,10,CA,FU,80,7,99,45,14,0.35,45.35,1.1133018966,1.130687274,0.0156160494,5.3809782963,67,58,14,46.09,344.58,0.0311111111,0.1072026667,5.3809782963
6300312,177,A,0,10,RB,CM,80,0,0,16,16,0.14,16.14,0.1608495439,0.1636767259,0.0175765625,5.3828222656,23,33,21,35.99,306.25,0.0525,0.16078125,5.3828222656
1000175,1550,N,35,15,AB,FU,100,0,0,27,18,0.24,27.24,0.515299735,0.5245013342,0.0178567901,5.3820365432,56,58,24,34.29,301.4,0.0533333333,0.1607466667,5.3820365432
6200424,200,A,0,10,PS,FC,100,2,0,12,8,0.34,12.34,0.0452389342,0.0478387906,0.0574694444,5.4337359722,18,37,13,12.13,94.55,0.2266666667,0.2143133333,5.4337359722
1300678,1485,E,11,15,PN,FU,50,0,0,17,9,0.29,17.29,0.1021410311,0.1056555662,0.0344086505,5.4014699585,29,45,14,25.22,156.98,0.1023529412,0.1606736471,5.4014699585
2100119,500,E,5,15,CA,CM,40,0,0,26,10,0.32,26.32,0.2654645792,0.2720393043,0.0247668639,5.3872882367,30,48,17,30.7,217.52,0.0738461538,0.1606301538,5.3872882367
4400080,370,O,28,13,CA,CM,90,5,99,16,19,0.18,16.18,0.1910088333,0.1953307066,0.0226265625,5.3844430781,30,42,21,28.69,237.97,0.0675,0.16062975,5.3844430781
200424,1177,O,27,10,AF,FC,95,2,0,43,17,0.41,43.41,1.2343710235,1.2580224135,0.0191606814,5.3795529237,52,50,20,43.72,280.76,0.0572093023,0.1606208372,5.3795529237
6000161,270,A,0,10,RB,CM,99,0,0,26,22,0.31,26.31,0.5840220743,0.598031779,0.0239883136,5.3856162885,28,27,23,27,224.51,0.0715384615,0.160611,5.3856162885
5700034,240,A,0,15,QC,FU,80,1,99,30,19,0.36,30.36,0.6715154297,0.6877284982,0.024144,5.38556064,34,62,22,20.99,223.06,0.072,0.1606032,5.38556064
6100173,298,E,5,10,RB,FC,70,3,99,17,21,0.32,17.32,0.2383290727,0.2473859073,0.0380013841,5.4034168028,19,30,20,18.25,142.19,0.1505882353,0.2141214118,5.4034168028
1200012,927,N,30,10,CA,CM,60,7,0,20,14,0.21,20.21,0.2199114858,0.2245538722,0.02111025,5.37382524,29,37,16,20.81,254.56,0.063,0.1603728,5.37382524
3300410,1240,E,30,10,FG,CM,70,1,99,11,11,0.17,11.17,0.0522682478,0.0538962957,0.0311479339,5.3870351653,25,32,12,35.85,172.95,0.0927272727,0.1603718182,5.3870351653
4100020,1260,N,29,13,FG,CM,80,2,0,14,9,0.28,14.28,0.069272118,0.0720707116,0.0404,5.398652,27,28,15,24.18,133.63,0.12,0.160356,5.398652
1300126,830,S,21,12,CA,CM,90,30,0,26,10,0.33,26.33,0.2654645792,0.2722460604,0.0255457101,5.3789047101,28,27,12,46.34,210.56,0.0761538462,0.1603495385,5.3789047101
1600112,1490,N,37,12,FG,FU,40,1,0,68,34,0.52,68.52,6.1738578828,6.2686426235,0.0153525952,5.3646573253,110,68,34,33.2,349.43,0.0305882353,0.1068844706,5.3646573253
6000047,170,S,5,10,RB,FU,90,5,99,16,18,0.3,16.3,0.1809557368,0.1878051942,0.0378515625,5.3938476563,18,24,20,19.12,142.5,0.15,0.21375,5.3938476563
2300228,1160,S,32,10,BS,CM,80,0,99,14,9,0.5,14.5,0.069272118,0.0743084837,0.0727040816,5.4389923469,16,23,11,14.13,74.81,0.2857142857,0.2137428571,5.4389923469
3800365,850,S,47,12,QV,CM,80,1,0,12,9,0.21,12.21,0.050893801,0.0526906702,0.03530625,5.389852125,26,30,16,23.02,152.66,0.105,0.160293,5.389852125
3400452,1805,N,15,16,LC,FU,25,0,0,36,27,0.31,36.31,1.3741326267,1.3979001378,0.0172963735,5.3658539375,74,85,29,32.36,310.23,0.0344444444,0.106857,5.3658539375
3800289,830,N,20,12,FG,FC,100,6,0,23,22,0.21,23.21,0.4570231913,0.4654069318,0.0183442344,5.3671561021,43,52,24,37.27,292.58,0.0547826087,0.1602829565,5.3671561021
4400317,495,E,8,10,CA,CM,60,0,99,12,12,0.26,12.26,0.0678584013,0.0708307878,0.0438027778,5.4004444722,14,37,17,15.48,123.29,0.1733333333,0.2137026667,5.4004444722
3200468,1400,N,27,9,LC,FU,100,0,0,12,13,0.14,12.14,0.0735132681,0.0752385837,0.0234694444,5.3733293056,30,54,22,34.16,228.95,0.07,0.160265,5.3733293056
4100161,420,S,19,11,CA,FU,80,3,99,16,13,0.15,16.15,0.1306902544,0.1331521831,0.0188378906,5.3661615234,30,48,14,30.74,284.86,0.05625,0.16023375,5.3661615234
5200028,140,O,12,12,RB,FU,60,4,99,15,19,0.2,15.2,0.1678788574,0.1723854721,0.0268444444,5.3761368889,40,41,29,22.76,200.27,0.08,0.160216,5.3761368889
4400107,740,S,29,10,CA,CM,90,30,99,15,16,0.13,15.13,0.1413716694,0.1438327303,0.0174084444,5.3635417333,38,40,20,43.97,308.1,0.052,0.160212,5.3635417333
2100118,970,E,33,17,BS,IN,30,2,0,12,6,0.12,12.12,0.0339292007,0.0346111776,0.0201,5.367102,39,50,16,35.71,267.02,0.06,0.160212,5.367102
200488,1041,N,18,10,OS,CM,80,1,0,10,11,0.14,10.14,0.043196899,0.0444148788,0.028196,5.37641328,24,27,14,28.9,190.68,0.084,0.1601712,5.37641328
6100156,240,A,0,10,QC,FC,90,0,99,9,15,0.12,9.12,0.0477129384,0.0489937658,0.0268444444,5.373184,30,40,25,18.77,200.16,0.08,0.160128,5.373184
